EXPANSE stm32h747 m7 harness
INFO core=m7 cpuid=0x411fc271 idcode=0x20036450 pwr_cr3=0x00010044 dcache_line_bytes=32 dcache_ways=4 dcache_sets=128 sync32_headroom=128
TICK
TOCK cycles=320000000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=3528855 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=3524194 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=3527166 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=3524256 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=3523470 ops=2000
RESULT name=bytes impl=expanse core=m7 shape=ingest keys=2000 heap_bytes=11376 req_bytes=5218
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=187425 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=187177 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=187164 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=187164 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=187164 ops=500
RESULT name=bytes impl=expanse core=m7 shape=ble_index keys=2000 heap_bytes=42400 req_bytes=32832
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2344697 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2342980 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2342915 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2343790 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2343837 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=797658 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=797810 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=798094 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=797311 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=798057 ops=600
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=93923 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=93830 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=93831 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=93879 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=93718 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=37107 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=36963 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=37145 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=37166 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=37080 ops=25
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=523572 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=523462 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=523447 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=523447 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=523447 ops=2000
RESULT name=bytes impl=sorted_array core=m7 shape=ingest keys=2000 heap_bytes=16040 req_bytes=16016
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=86482 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=86428 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=86421 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=86421 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=86421 ops=500
RESULT name=bytes impl=sorted_array core=m7 shape=ble_index keys=2000 heap_bytes=32080 req_bytes=32032
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=27077850 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=27077771 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=27077766 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=27077759 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=27077759 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=9629963 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=9629942 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=9629944 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=9629936 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=9629958 ops=600
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=962681 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=962712 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=962712 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=962712 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=962706 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=144393 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=144383 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=144383 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=144383 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=144383 ops=25
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=244528 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=244501 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=244500 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=244500 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=244500 ops=2000
RESULT name=bytes impl=open_hash core=m7 shape=ingest keys=2000 heap_bytes=32808 req_bytes=32788
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=54448 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=54436 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=54436 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=54436 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=54436 ops=500
RESULT name=bytes impl=open_hash core=m7 shape=ble_index keys=2000 heap_bytes=32808 req_bytes=32788
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=170166 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=170164 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=170164 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=170164 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=170164 ops=600
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=158024 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=158044 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=158024 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=158044 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=158024 ops=25
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=84773090 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=84773005 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=84773066 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=84773035 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=84773032 ops=2000
RESULT name=bytes impl=tsearch core=m7 shape=ingest keys=2000 heap_bytes=72032 req_bytes=24016
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=5426801 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=5427799 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=5427784 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=5427799 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=5427799 ops=500
RESULT name=bytes impl=tsearch core=m7 shape=ble_index keys=2000 heap_bytes=144064 req_bytes=48032
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2316003 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2316016 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2315985 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2315993 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2316032 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2285350 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2285331 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2285361 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2285327 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2285341 ops=600
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=41399 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=41369 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=41331 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=41379 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=41331 ops=25
