EXPANSE stm32h747 m7 harness
INFO cpuid=0x411fc271 idcode=0x20036450 pwr_cr3=0x00010044 dcache_line_bytes=32 dcache_ways=4 dcache_sets=128 sync32_headroom=128
TICK
TOCK cycles=320000000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=0 pass=0 cycles=3519705 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=0 pass=1 cycles=3517004 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=0 pass=2 cycles=3517540 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=0 pass=3 cycles=3518450 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=0 pass=4 cycles=3517745 ops=2000
RESULT name=bytes impl=expanse shape=ingest keys=2000 heap_bytes=11376 req_bytes=5218
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=0 pass=0 cycles=177980 ops=500
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=0 pass=1 cycles=177474 ops=500
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=0 pass=2 cycles=177518 ops=500
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=0 pass=3 cycles=177558 ops=500
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=0 pass=4 cycles=177543 ops=500
RESULT name=bytes impl=expanse shape=ble_index keys=2000 heap_bytes=42400 req_bytes=32832
RESULT name=evict_bulk_loop impl=expanse sysclk=64000000 dcache=0 pass=0 cycles=2332187 ops=600
RESULT name=evict_bulk_loop impl=expanse sysclk=64000000 dcache=0 pass=1 cycles=2331352 ops=600
RESULT name=evict_bulk_loop impl=expanse sysclk=64000000 dcache=0 pass=2 cycles=2332174 ops=600
RESULT name=evict_bulk_loop impl=expanse sysclk=64000000 dcache=0 pass=3 cycles=2331442 ops=600
RESULT name=evict_bulk_loop impl=expanse sysclk=64000000 dcache=0 pass=4 cycles=2330584 ops=600
RESULT name=evict_bulk_range impl=expanse sysclk=64000000 dcache=0 pass=0 cycles=796611 ops=600
RESULT name=evict_bulk_range impl=expanse sysclk=64000000 dcache=0 pass=1 cycles=795949 ops=600
RESULT name=evict_bulk_range impl=expanse sysclk=64000000 dcache=0 pass=2 cycles=796854 ops=600
RESULT name=evict_bulk_range impl=expanse sysclk=64000000 dcache=0 pass=3 cycles=797046 ops=600
RESULT name=evict_bulk_range impl=expanse sysclk=64000000 dcache=0 pass=4 cycles=796587 ops=600
RESULT name=evict_steady_loop impl=expanse sysclk=64000000 dcache=0 pass=0 cycles=94157 ops=25
RESULT name=evict_steady_loop impl=expanse sysclk=64000000 dcache=0 pass=1 cycles=94208 ops=25
RESULT name=evict_steady_loop impl=expanse sysclk=64000000 dcache=0 pass=2 cycles=94110 ops=25
RESULT name=evict_steady_loop impl=expanse sysclk=64000000 dcache=0 pass=3 cycles=94325 ops=25
RESULT name=evict_steady_loop impl=expanse sysclk=64000000 dcache=0 pass=4 cycles=94152 ops=25
RESULT name=evict_steady_range impl=expanse sysclk=64000000 dcache=0 pass=0 cycles=37550 ops=25
RESULT name=evict_steady_range impl=expanse sysclk=64000000 dcache=0 pass=1 cycles=37743 ops=25
RESULT name=evict_steady_range impl=expanse sysclk=64000000 dcache=0 pass=2 cycles=37832 ops=25
RESULT name=evict_steady_range impl=expanse sysclk=64000000 dcache=0 pass=3 cycles=37638 ops=25
RESULT name=evict_steady_range impl=expanse sysclk=64000000 dcache=0 pass=4 cycles=37701 ops=25
RESULT name=ingest impl=sorted_array sysclk=64000000 dcache=0 pass=0 cycles=525510 ops=2000
RESULT name=ingest impl=sorted_array sysclk=64000000 dcache=0 pass=1 cycles=525406 ops=2000
RESULT name=ingest impl=sorted_array sysclk=64000000 dcache=0 pass=2 cycles=525391 ops=2000
RESULT name=ingest impl=sorted_array sysclk=64000000 dcache=0 pass=3 cycles=525391 ops=2000
RESULT name=ingest impl=sorted_array sysclk=64000000 dcache=0 pass=4 cycles=525391 ops=2000
RESULT name=bytes impl=sorted_array shape=ingest keys=2000 heap_bytes=16040 req_bytes=16016
RESULT name=can_dispatch impl=sorted_array sysclk=64000000 dcache=0 pass=0 cycles=81451 ops=500
RESULT name=can_dispatch impl=sorted_array sysclk=64000000 dcache=0 pass=1 cycles=81435 ops=500
RESULT name=can_dispatch impl=sorted_array sysclk=64000000 dcache=0 pass=2 cycles=81435 ops=500
RESULT name=can_dispatch impl=sorted_array sysclk=64000000 dcache=0 pass=3 cycles=81435 ops=500
RESULT name=can_dispatch impl=sorted_array sysclk=64000000 dcache=0 pass=4 cycles=81435 ops=500
RESULT name=bytes impl=sorted_array shape=ble_index keys=2000 heap_bytes=32080 req_bytes=32032
RESULT name=evict_bulk_loop impl=sorted_array sysclk=64000000 dcache=0 pass=0 cycles=27077839 ops=600
RESULT name=evict_bulk_loop impl=sorted_array sysclk=64000000 dcache=0 pass=1 cycles=27077717 ops=600
RESULT name=evict_bulk_loop impl=sorted_array sysclk=64000000 dcache=0 pass=2 cycles=27077698 ops=600
RESULT name=evict_bulk_loop impl=sorted_array sysclk=64000000 dcache=0 pass=3 cycles=27077698 ops=600
RESULT name=evict_bulk_loop impl=sorted_array sysclk=64000000 dcache=0 pass=4 cycles=27077698 ops=600
RESULT name=evict_bulk_range impl=sorted_array sysclk=64000000 dcache=0 pass=0 cycles=9629937 ops=600
RESULT name=evict_bulk_range impl=sorted_array sysclk=64000000 dcache=0 pass=1 cycles=9629893 ops=600
RESULT name=evict_bulk_range impl=sorted_array sysclk=64000000 dcache=0 pass=2 cycles=9629893 ops=600
RESULT name=evict_bulk_range impl=sorted_array sysclk=64000000 dcache=0 pass=3 cycles=9629893 ops=600
RESULT name=evict_bulk_range impl=sorted_array sysclk=64000000 dcache=0 pass=4 cycles=9629893 ops=600
RESULT name=evict_steady_loop impl=sorted_array sysclk=64000000 dcache=0 pass=0 cycles=962668 ops=25
RESULT name=evict_steady_loop impl=sorted_array sysclk=64000000 dcache=0 pass=1 cycles=962668 ops=25
RESULT name=evict_steady_loop impl=sorted_array sysclk=64000000 dcache=0 pass=2 cycles=962668 ops=25
RESULT name=evict_steady_loop impl=sorted_array sysclk=64000000 dcache=0 pass=3 cycles=962668 ops=25
RESULT name=evict_steady_loop impl=sorted_array sysclk=64000000 dcache=0 pass=4 cycles=962668 ops=25
RESULT name=evict_steady_range impl=sorted_array sysclk=64000000 dcache=0 pass=0 cycles=144336 ops=25
RESULT name=evict_steady_range impl=sorted_array sysclk=64000000 dcache=0 pass=1 cycles=144336 ops=25
RESULT name=evict_steady_range impl=sorted_array sysclk=64000000 dcache=0 pass=2 cycles=144336 ops=25
RESULT name=evict_steady_range impl=sorted_array sysclk=64000000 dcache=0 pass=3 cycles=144336 ops=25
RESULT name=evict_steady_range impl=sorted_array sysclk=64000000 dcache=0 pass=4 cycles=144336 ops=25
RESULT name=ingest impl=open_hash sysclk=64000000 dcache=0 pass=0 cycles=223795 ops=2000
RESULT name=ingest impl=open_hash sysclk=64000000 dcache=0 pass=1 cycles=223793 ops=2000
RESULT name=ingest impl=open_hash sysclk=64000000 dcache=0 pass=2 cycles=223793 ops=2000
RESULT name=ingest impl=open_hash sysclk=64000000 dcache=0 pass=3 cycles=223793 ops=2000
RESULT name=ingest impl=open_hash sysclk=64000000 dcache=0 pass=4 cycles=223793 ops=2000
RESULT name=bytes impl=open_hash shape=ingest keys=2000 heap_bytes=32808 req_bytes=32788
RESULT name=can_dispatch impl=open_hash sysclk=64000000 dcache=0 pass=0 cycles=51943 ops=500
RESULT name=can_dispatch impl=open_hash sysclk=64000000 dcache=0 pass=1 cycles=51929 ops=500
RESULT name=can_dispatch impl=open_hash sysclk=64000000 dcache=0 pass=2 cycles=51924 ops=500
RESULT name=can_dispatch impl=open_hash sysclk=64000000 dcache=0 pass=3 cycles=51924 ops=500
RESULT name=can_dispatch impl=open_hash sysclk=64000000 dcache=0 pass=4 cycles=51924 ops=500
RESULT name=bytes impl=open_hash shape=ble_index keys=2000 heap_bytes=32808 req_bytes=32788
RESULT name=evict_bulk_scan impl=open_hash sysclk=64000000 dcache=0 pass=0 cycles=170305 ops=600
RESULT name=evict_bulk_scan impl=open_hash sysclk=64000000 dcache=0 pass=1 cycles=170267 ops=600
RESULT name=evict_bulk_scan impl=open_hash sysclk=64000000 dcache=0 pass=2 cycles=170267 ops=600
RESULT name=evict_bulk_scan impl=open_hash sysclk=64000000 dcache=0 pass=3 cycles=170267 ops=600
RESULT name=evict_bulk_scan impl=open_hash sysclk=64000000 dcache=0 pass=4 cycles=170267 ops=600
RESULT name=evict_steady_scan impl=open_hash sysclk=64000000 dcache=0 pass=0 cycles=157998 ops=25
RESULT name=evict_steady_scan impl=open_hash sysclk=64000000 dcache=0 pass=1 cycles=157998 ops=25
RESULT name=evict_steady_scan impl=open_hash sysclk=64000000 dcache=0 pass=2 cycles=157998 ops=25
RESULT name=evict_steady_scan impl=open_hash sysclk=64000000 dcache=0 pass=3 cycles=157998 ops=25
RESULT name=evict_steady_scan impl=open_hash sysclk=64000000 dcache=0 pass=4 cycles=157998 ops=25
RESULT name=ingest impl=tsearch sysclk=64000000 dcache=0 pass=0 cycles=84759207 ops=2000
RESULT name=ingest impl=tsearch sysclk=64000000 dcache=0 pass=1 cycles=84758072 ops=2000
RESULT name=ingest impl=tsearch sysclk=64000000 dcache=0 pass=2 cycles=84758064 ops=2000
RESULT name=ingest impl=tsearch sysclk=64000000 dcache=0 pass=3 cycles=84758064 ops=2000
RESULT name=ingest impl=tsearch sysclk=64000000 dcache=0 pass=4 cycles=84758064 ops=2000
RESULT name=bytes impl=tsearch shape=ingest keys=2000 heap_bytes=72032 req_bytes=24016
RESULT name=can_dispatch impl=tsearch sysclk=64000000 dcache=0 pass=0 cycles=5419806 ops=500
RESULT name=can_dispatch impl=tsearch sysclk=64000000 dcache=0 pass=1 cycles=5419796 ops=500
RESULT name=can_dispatch impl=tsearch sysclk=64000000 dcache=0 pass=2 cycles=5419796 ops=500
RESULT name=can_dispatch impl=tsearch sysclk=64000000 dcache=0 pass=3 cycles=5419796 ops=500
RESULT name=can_dispatch impl=tsearch sysclk=64000000 dcache=0 pass=4 cycles=5419796 ops=500
RESULT name=bytes impl=tsearch shape=ble_index keys=2000 heap_bytes=144064 req_bytes=48032
RESULT name=evict_bulk_loop impl=tsearch sysclk=64000000 dcache=0 pass=0 cycles=2290598 ops=600
RESULT name=evict_bulk_loop impl=tsearch sysclk=64000000 dcache=0 pass=1 cycles=2290594 ops=600
RESULT name=evict_bulk_loop impl=tsearch sysclk=64000000 dcache=0 pass=2 cycles=2290594 ops=600
RESULT name=evict_bulk_loop impl=tsearch sysclk=64000000 dcache=0 pass=3 cycles=2290594 ops=600
RESULT name=evict_bulk_loop impl=tsearch sysclk=64000000 dcache=0 pass=4 cycles=2290594 ops=600
RESULT name=evict_bulk_range impl=tsearch sysclk=64000000 dcache=0 pass=0 cycles=2284683 ops=600
RESULT name=evict_bulk_range impl=tsearch sysclk=64000000 dcache=0 pass=1 cycles=2284777 ops=600
RESULT name=evict_bulk_range impl=tsearch sysclk=64000000 dcache=0 pass=2 cycles=2284777 ops=600
RESULT name=evict_bulk_range impl=tsearch sysclk=64000000 dcache=0 pass=3 cycles=2284777 ops=600
RESULT name=evict_bulk_range impl=tsearch sysclk=64000000 dcache=0 pass=4 cycles=2284777 ops=600
RESULT name=evict_steady_loop impl=tsearch sysclk=64000000 dcache=0 pass=0 cycles=40401 ops=25
RESULT name=evict_steady_loop impl=tsearch sysclk=64000000 dcache=0 pass=1 cycles=40401 ops=25
RESULT name=evict_steady_loop impl=tsearch sysclk=64000000 dcache=0 pass=2 cycles=40401 ops=25
RESULT name=evict_steady_loop impl=tsearch sysclk=64000000 dcache=0 pass=3 cycles=40401 ops=25
RESULT name=evict_steady_loop impl=tsearch sysclk=64000000 dcache=0 pass=4 cycles=40401 ops=25
RESULT name=evict_steady_range impl=tsearch sysclk=64000000 dcache=0 pass=0 cycles=39627 ops=25
RESULT name=evict_steady_range impl=tsearch sysclk=64000000 dcache=0 pass=1 cycles=39627 ops=25
RESULT name=evict_steady_range impl=tsearch sysclk=64000000 dcache=0 pass=2 cycles=39648 ops=25
RESULT name=evict_steady_range impl=tsearch sysclk=64000000 dcache=0 pass=3 cycles=39627 ops=25
RESULT name=evict_steady_range impl=tsearch sysclk=64000000 dcache=0 pass=4 cycles=39627 ops=25
RESULT name=ingest impl=expanse sysclk=64000000 dcache=1 pass=0 cycles=2328517 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=1 pass=1 cycles=2327889 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=1 pass=2 cycles=2328456 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=1 pass=3 cycles=2328310 ops=2000
RESULT name=ingest impl=expanse sysclk=64000000 dcache=1 pass=4 cycles=2329462 ops=2000
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=1 pass=0 cycles=124765 ops=500
RESULT name=can_dispatch impl=expanse sysclk=64000000 dcache=1 pass=1 cycles=124442 ops=500
