EXPANSE stm32h747 m7 harness
INFO core=m7 cpuid=0x411fc271 idcode=0x20036450 pwr_cr3=0x00010044 dcache_line_bytes=32 dcache_ways=4 dcache_sets=128 sync32_headroom=128
TICK
TOCK cycles=320000000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2203318 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2193108 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2200295 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2199572 ops=2000
RESULT name=ingest impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2201655 ops=2000
RESULT name=bytes impl=expanse core=m7 shape=ingest keys=2000 heap_bytes=11416 req_bytes=7782
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=180335 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=180049 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=180048 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=180047 ops=500
RESULT name=can_dispatch impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=180047 ops=500
RESULT name=bytes impl=expanse core=m7 shape=ble_index keys=2000 heap_bytes=42552 req_bytes=34376
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2327108 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2325187 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2326035 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2326409 ops=600
RESULT name=evict_bulk_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2326269 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=824994 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=825761 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=825183 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=825157 ops=600
RESULT name=evict_bulk_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=826273 ops=600
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=96618 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=96949 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=97088 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=96816 ops=25
RESULT name=evict_steady_loop impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=96845 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=0 cycles=38081 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=1 cycles=38654 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=2 cycles=38356 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=3 cycles=38542 ops=25
RESULT name=evict_steady_range impl=expanse core=m7 sysclk=64000000 dcache=0 pass=4 cycles=38576 ops=25
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=523548 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=523473 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=523446 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=523446 ops=2000
RESULT name=ingest impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=523446 ops=2000
RESULT name=bytes impl=sorted_array core=m7 shape=ingest keys=2000 heap_bytes=16040 req_bytes=16016
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=86951 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=86920 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=86920 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=86920 ops=500
RESULT name=can_dispatch impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=86920 ops=500
RESULT name=bytes impl=sorted_array core=m7 shape=ble_index keys=2000 heap_bytes=32080 req_bytes=32032
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=27064680 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=27064549 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=27064539 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=27064555 ops=600
RESULT name=evict_bulk_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=27064542 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=9627578 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=9627552 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=9627552 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=9627552 ops=600
RESULT name=evict_bulk_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=9627552 ops=600
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=962104 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=962104 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=962104 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=962104 ops=25
RESULT name=evict_steady_loop impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=962104 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=0 cycles=144255 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=1 cycles=144262 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=2 cycles=144255 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=3 cycles=144269 ops=25
RESULT name=evict_steady_range impl=sorted_array core=m7 sysclk=64000000 dcache=0 pass=4 cycles=144262 ops=25
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=244528 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=244500 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=244500 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=244500 ops=2000
RESULT name=ingest impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=244500 ops=2000
RESULT name=bytes impl=open_hash core=m7 shape=ingest keys=2000 heap_bytes=32808 req_bytes=32788
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=54448 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=54436 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=54436 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=54436 ops=500
RESULT name=can_dispatch impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=54436 ops=500
RESULT name=bytes impl=open_hash core=m7 shape=ble_index keys=2000 heap_bytes=32808 req_bytes=32788
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=170169 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=170146 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=170146 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=170146 ops=600
RESULT name=evict_bulk_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=170146 ops=600
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=0 cycles=158010 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=1 cycles=158010 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=2 cycles=158010 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=3 cycles=158010 ops=25
RESULT name=evict_steady_scan impl=open_hash core=m7 sysclk=64000000 dcache=0 pass=4 cycles=158010 ops=25
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=86812972 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=86791018 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=86799056 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=86812047 ops=2000
RESULT name=ingest impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=86824014 ops=2000
RESULT name=bytes impl=tsearch core=m7 shape=ingest keys=2000 heap_bytes=72032 req_bytes=24016
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=5306045 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=5306035 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=5306033 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=5306033 ops=500
RESULT name=can_dispatch impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=5306033 ops=500
RESULT name=bytes impl=tsearch core=m7 shape=ble_index keys=2000 heap_bytes=144064 req_bytes=48032
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2371789 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2371821 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2372219 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2358063 ops=600
RESULT name=evict_bulk_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2371885 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=2355367 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=2357184 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=2357211 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=2357098 ops=600
RESULT name=evict_bulk_range impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=2357228 ops=600
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=0 cycles=43383 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=1 cycles=43877 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=2 cycles=43668 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=3 cycles=43674 ops=25
RESULT name=evict_steady_loop impl=tsearch core=m7 sysclk=64000000 dcache=0 pass=4 cycles=43450 ops=25
